"id","listing_url","name","host_id","street","property_type","room_type","accommodates","bedrooms","beds","amenities","number_of_reviews","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","instant_bookable","cancellation_policy"
"10034614","https://www.airbnb.com/rooms/10034614","Boston Lux 2BR Apt+ Yoga Studio","30283594","Kneeland Street, Boston, MA 02111, United States","Apartment","Entire home/apt","5","2","2","{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Doorman,Gym,""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer,Essentials,Shampoo,""24-Hour Check-in"",Iron}","0","","","","","","","","f","strict"
"10034930","https://www.airbnb.com/rooms/10034930","New Luxury 2BR Apt at Fenway","30283594","Boylston Street, Boston, MA 02215, United States","Apartment","Entire home/apt","5","2","2","{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Doorman,Gym,""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer,Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron}","0","","","","","","","","f","strict"
"10035581","https://www.airbnb.com/rooms/10035581","New Luxury 2BR Apt. at Fenway","30283594","Boylston Street, Boston, MA 02215, United States","Apartment","Entire home/apt","5","2","2","{""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Doorman,Gym,""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron}","0","","","","","","","","f","strict"
"10036037","https://www.airbnb.com/rooms/10036037","New Luxury 2BR-Apartment at Fenway","30283594","Boylston Street, Boston, MA 02215, United States","Apartment","Entire home/apt","5","2","2","{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Doorman,Gym,""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer,Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron}","1","40","10","10","2","4","2","4","f","strict"
"10036192","https://www.airbnb.com/rooms/10036192","New Luxury 2BR Apt at Fenway","30283594","Boylston Street, Boston, MA 02215, United States","Apartment","Entire home/apt","5","2","2","{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Doorman,Gym,""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer,Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron}","0","","","","","","","","f","strict"
"10037387","https://www.airbnb.com/rooms/10037387","Boston Newbury Two Bedroom Grand","48494513","Hereford Street, Boston, MA 02115, United States","Apartment","Entire home/apt","4","2","2","{TV,""Cable TV"",""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron}","14","82","9","8","10","10","10","8","f","strict"
"10048789","https://www.airbnb.com/rooms/10048789","New Luxury 2BR Apt. at Fenway","30283594","Boylston Street, Boston, MA 02215, United States","Apartment","Entire home/apt","5","2","2","{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Doorman,Gym,""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer,Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron}","0","","","","","","","","f","strict"
"10050351","https://www.airbnb.com/rooms/10050351","Gorgeous 1BR In Seaport Square","30283594","Seaport Boulevard, Boston, MA 02210, United States","Apartment","Entire home/apt","3","1","1","{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Gym,""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer,Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron}","2","100","9","10","9","10","10","10","f","strict"
"10051003","https://www.airbnb.com/rooms/10051003","Evolve Longwood","18202088","Tremont Street, Boston, MA 02120, United States","Apartment","Entire home/apt","2","1","1","{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Gym,""Elevator in Building"",Heating,Essentials,""24-Hour Check-in"",Hangers,Iron,""Laptop Friendly Workspace""}","3","60","8","10","7","5","9","7","f","moderate"
"10051357","https://www.airbnb.com/rooms/10051357","Gorgeous 2BR On Boston Harbor","30283594","Seaport Boulevard, Boston, MA 02210, United States","Apartment","Entire home/apt","5","2","2","{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Gym,""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer,Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron}","1","100","10","10","10","10","10","10","f","strict"
"10051623","https://www.airbnb.com/rooms/10051623","Lux 2BR In Seaport Square on Harbor","30283594","Seaport Boulevard, Boston, MA 02210, United States","Apartment","Entire home/apt","5","2","2","{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Gym,Heating,""Family/Kid Friendly"",Washer,Dryer,Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron}","0","","","","","","","","f","strict"
"10051649","https://www.airbnb.com/rooms/10051649","Luxury West End 2BR Apt","30283594","Blossom Street, Boston, MA 02114, United States","Apartment","Entire home/apt","5","2","2","{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,Doorman,Gym,""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer,Essentials,Shampoo}","0","","","","","","","","f","strict"
"10051842","https://www.airbnb.com/rooms/10051842","Luxury West End 2BR Apt.","30283594","Blossom Street, Boston, MA 02114, United States","Apartment","Entire home/apt","5","2","2","{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,Doorman,Gym,""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer,Essentials,Shampoo}","1","80","10","8","8","8","10","6","f","strict"
"10052037","https://www.airbnb.com/rooms/10052037","Luxury West End 1BR Apt.","30283594","Blossom Street, Boston, MA 02114, United States","Apartment","Entire home/apt","3","1","1","{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,Doorman,Gym,""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer,Essentials,Shampoo}","0","","","","","","","","f","strict"
"10052445","https://www.airbnb.com/rooms/10052445","Stunning 3 BR Lux Apt on the Harbor","30283594","Seaport Boulevard, Boston, MA 02210, United States","Apartment","Entire home/apt","6","3","3","{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Doorman,Gym,Heating,""Family/Kid Friendly"",Washer,Dryer,Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer""}","0","","","","","","","","f","strict"
"10052622","https://www.airbnb.com/rooms/10052622","Lux. 3 BR Apt. - Financial District","30283594","Seaport Boulevard, Boston, MA 02210, United States","Apartment","Entire home/apt","6","3","2","{TV,""Cable TV"",Internet,""Air Conditioning"",Kitchen,Doorman,Gym,""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer,Essentials,Shampoo,Hangers,""Hair Dryer"",Iron}","0","","","","","","","","f","strict"
"10052824","https://www.airbnb.com/rooms/10052824","Lux. 3 BR Apt Near Fort Point","30283594","Seaport Boulevard, Boston, MA 02210, United States","Apartment","Entire home/apt","6","3","3","{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Doorman,Gym,""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer,Essentials,Shampoo}","1","100","10","10","10","10","10","10","f","strict"
"10052920","https://www.airbnb.com/rooms/10052920","Lux. 3BR by the Seaport & Harbor","30283594","Seaport Boulevard, Boston, MA 02210, United States","Apartment","Entire home/apt","6","3","3","{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Doorman,Gym,""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer,Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron}","0","","","","","","","","f","strict"
"10053032","https://www.airbnb.com/rooms/10053032","Lux. 3 BR High Rise Apt. in Boston","30283594","Seaport Boulevard, Boston, MA 02210, United States","Apartment","Entire home/apt","6","3","3","{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Doorman,Gym,Heating,""Family/Kid Friendly"",Washer,Dryer,Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron}","0","","","","","","","","f","strict"
"10053235","https://www.airbnb.com/rooms/10053235","Lux. 1 BR Apt. by Boston Harbor","30283594","Seaport Boulevard, Boston, MA 02210, United States","Apartment","Entire home/apt","3","1","1","{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Doorman,Gym,""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer,Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron}","0","","","","","","","","f","strict"
"10053454","https://www.airbnb.com/rooms/10053454","Luxury 1 BR Apt. near Fort Point","30283594","Seaport Boulevard, Boston, MA 02210, United States","Apartment","Entire home/apt","3","1","1","{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Doorman,Gym,Heating,""Family/Kid Friendly"",Washer,Dryer,Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron}","0","","","","","","","","f","strict"
"10053549","https://www.airbnb.com/rooms/10053549","Lux. 1 BR Boston Apt Stunning Views","30283594","Seaport Boulevard, Boston, MA 02210, United States","Apartment","Entire home/apt","3","1","1","{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Doorman,""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer,Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron}","0","","","","","","","","f","strict"
"10053928","https://www.airbnb.com/rooms/10053928","Beautifully Furnished 1BR Lux Apt.","30283594","Seaport Boulevard, Boston, MA 02210, United States","Apartment","Entire home/apt","3","1","1","{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Gym,""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer,Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron}","0","","","","","","","","f","strict"
"10054046","https://www.airbnb.com/rooms/10054046","Stunning 1BR HighRise Apt by Harbor","30283594","Seaport Boulevard, Boston, MA 02210, United States","Apartment","Entire home/apt","3","1","1","{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Doorman,Gym,""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer,Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron}","1","100","10","10","10","10","10","8","f","strict"
"10056496","https://www.airbnb.com/rooms/10056496","Nice 4 bedrooms apartment","51354463","Leyden Street, Boston, MA 02128, United States","Apartment","Entire home/apt","8","4","4","{TV,Internet,""Wireless Internet"",Kitchen,""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials}","32","79","8","8","9","9","9","9","t","moderate"
"10068240","https://www.airbnb.com/rooms/10068240","Spacious Room on Top Floor!","15583990","Lonsdale Street, Boston, MA 02124, United States","Apartment","Private room","4","1","2","{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}","33","92","10","9","10","10","9","9","f","strict"
"10070404","https://www.airbnb.com/rooms/10070404","New Back Bay Brownstone 2 Bedroom","51673899","Beacon Street, Boston, MA 02116, United States","Apartment","Entire home/apt","6","2","2","{""Cable TV"",""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets Allowed"",""Elevator in Building"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,Iron,""Laptop Friendly Workspace""}","15","93","9","10","10","9","10","9","f","strict"
"10074653","https://www.airbnb.com/rooms/10074653","bright 3floor bedroom in a old brick city house","49453306","Sheridan Street, Boston, MA 02130, United States","Townhouse","Private room","1","1","1","{Internet,""Wireless Internet"",Kitchen,Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,""24-Hour Check-in"",Hangers}","1","100","","8","10","10","10","10","f","moderate"
"10083878","https://www.airbnb.com/rooms/10083878","S.END: Huge industrial cool condo!!","51741798","Washington Street, Boston, MA 02118, United States","Apartment","Entire home/apt","4","1","1","{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Gym,""Pets live on this property"",Dog(s),""Indoor Fireplace"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}","30","97","10","10","10","10","10","10","f","moderate"
"10084216","https://www.airbnb.com/rooms/10084216","Private Boston-Back Bay Top Floor w/ Private Deck","51745385","Boston, MA, United States","Apartment","Entire home/apt","3","1","2","{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Breakfast,""Elevator in Building"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo,""Lock on Bedroom Door"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}","3","100","10","10","10","10","10","9","t","moderate"
"10103725","https://www.airbnb.com/rooms/10103725","Spacious Southie Condo 2 bed/bath -close to beach!","51849764","Winfield Street, Boston, MA 02127, United States","Condominium","Entire home/apt","4","2","2","{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}","6","93","10","8","10","10","10","10","f","moderate"
"10106081","https://www.airbnb.com/rooms/10106081","In the heart of North End, Boston.","40885583","Salem Street, Boston, MA 02113, United States","Apartment","Entire home/apt","2","1","2","{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",""Laptop Friendly Workspace""}","25","97","10","10","10","10","10","10","f","strict"
"10113230","https://www.airbnb.com/rooms/10113230","Large Bedroom, heart of Back Bay","51899080","Boylston Street, Boston, MA 02215, United States","Apartment","Private room","3","1","1","{Internet,""Air Conditioning"",""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Hair Dryer"",""Laptop Friendly Workspace""}","34","87","9","8","10","10","10","9","f","moderate"
"10116095","https://www.airbnb.com/rooms/10116095","Comfortable & Clean - Boston","1229092","Sheffield Road, Boston, MA 02131, United States","Apartment","Private room","2","1","1","{TV,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}","0","","","","","","","","f","strict"
"10116429","https://www.airbnb.com/rooms/10116429","Dowtown Boston 1BR Apt.+Indoor Pool","30283594","Washington Street, Boston, MA 02116, United States","Apartment","Entire home/apt","3","1","1","{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,Doorman,Gym,""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer,Essentials,Shampoo,""24-Hour Check-in"",""Hair Dryer"",Iron}","1","100","10","10","10","8","10","10","f","strict"
"10116601","https://www.airbnb.com/rooms/10116601","Dowtown Boston 1BR Apt+Indoor Pool","30283594","Washington Street, Boston, MA 02116, United States","Apartment","Entire home/apt","3","1","1","{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,Doorman,Gym,""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer,Essentials,Shampoo,""24-Hour Check-in"",""Hair Dryer"",Iron}","1","100","10","10","10","10","10","10","f","strict"
"10116726","https://www.airbnb.com/rooms/10116726","Dowtown Boston 1BR Apt-Logan Airprt","30283594","Washington Street, Boston, MA 02116, United States","Apartment","Entire home/apt","3","1","1","{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,Doorman,Gym,""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer,Essentials,Shampoo,""24-Hour Check-in"",""Hair Dryer"",Iron}","1","80","8","8","8","8","8","8","f","strict"
"10116914","https://www.airbnb.com/rooms/10116914","Lux Boston 1BR Apt.- Financial Dist","30283594","Washington Street, Boston, MA 02116, United States","Apartment","Entire home/apt","3","1","1","{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,Doorman,Gym,""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer,Essentials,Shampoo,""24-Hour Check-in"",""Hair Dryer"",Iron}","0","","","","","","","","f","strict"
"10117122","https://www.airbnb.com/rooms/10117122","Dowtown Boston 2BR Apt.-Opera House","30283594","Washington Street, Boston, MA 02116, United States","Apartment","Entire home/apt","5","2","2","{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,Doorman,Gym,""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer,Essentials,Shampoo,""24-Hour Check-in"",""Hair Dryer"",Iron}","0","","","","","","","","f","strict"
"10117329","https://www.airbnb.com/rooms/10117329","LUX Boston 2BR Apt. Logan Airport","30283594","Washington Street, Boston, MA 02116, United States","Apartment","Entire home/apt","5","2","2","{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,Doorman,Gym,""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer,Essentials,Shampoo,""24-Hour Check-in"",""Hair Dryer"",Iron}","2","100","9","10","10","10","10","10","f","strict"
"10117472","https://www.airbnb.com/rooms/10117472","LUX Boston 2BR Apt- Financial Dist.","30283594","Washington Street, Boston, MA 02116, United States","Apartment","Entire home/apt","5","2","2","{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,Doorman,Gym,""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer,Essentials,Shampoo,""24-Hour Check-in"",""Hair Dryer"",Iron}","0","","","","","","","","f","strict"
"10117803","https://www.airbnb.com/rooms/10117803","Dowtown Boston 2BR Apt+ Indoor Pool","30283594","Washington Street, Boston, MA 02116, United States","Apartment","Entire home/apt","5","2","2","{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,Doorman,Gym,""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer,Essentials,Shampoo,""24-Hour Check-in"",""Hair Dryer"",Iron}","2","80","5","9","8","7","9","9","f","strict"
"10118091","https://www.airbnb.com/rooms/10118091","Furnished Luxury 1BR West End Apt","30283594","Emerson Place, Boston, MA 02114, United States","Apartment","Entire home/apt","3","1","1","{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,Gym,""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer,Essentials,Shampoo,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}","0","","","","","","","","f","strict"
"10118379","https://www.airbnb.com/rooms/10118379","Furnished Luxury 1BR West End Apt.","30283594","Emerson Place, Boston, MA 02114, United States","Apartment","Entire home/apt","3","1","1","{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,Gym,""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer,Essentials,Shampoo,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}","0","","","","","","","","f","strict"
"10118573","https://www.airbnb.com/rooms/10118573","Furnished Luxury 1BR West End-Apt","30283594","Emerson Place, Boston, MA 02114, United States","Apartment","Entire home/apt","3","1","1","{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,Gym,""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer,Essentials,Shampoo,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}","0","","","","","","","","f","strict"
"10118716","https://www.airbnb.com/rooms/10118716","Furnished Luxury 2BR at West-End","30283594","Emerson Place, Boston, MA 02114, United States","Apartment","Entire home/apt","5","2","2","{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Gym,""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer,Essentials,Shampoo,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}","0","","","","","","","","f","strict"
"10118946","https://www.airbnb.com/rooms/10118946","Furnished Lux 2BR at West End","30283594","Emerson Place, Boston, MA 02114, United States","Apartment","Entire home/apt","5","2","2","{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Gym,""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer,Essentials,Shampoo,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}","0","","","","","","","","f","strict"
"10119075","https://www.airbnb.com/rooms/10119075","Furnished Luxury 2BR at West End","30283594","Emerson Place, Boston, MA 02114, United States","Apartment","Entire home/apt","5","2","2","{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Gym,""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer,Essentials,Shampoo,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}","0","","","","","","","","f","strict"
